id,name,date,estimated_cost,contract_value,winner
d123c75359e76da27b948805fae45bf6bc59dbf854129bd4f73ddd0561ab51d4,Akıllı Şehir Platformu Kurulması ve Yazılım Geliştirme Hizmet Alımı İşi,31.12.2024 16:00,2060000.0,1990000.0,INNOSA YAZILIM TEKNOLOJİLERİ ANONİM ŞİRKETİ
6fab79a3dc75161c3fbe01153ccfbd67781b945dfd290224c016fca973fdf6fb,3 Aylık Diş Protez Laboratuvar Hizmet Alımı,31.12.2024 15:30,12152646.19,11122216.67,"GRUP MEDLAB ÇOK AMAÇLI DİŞ PROTEZ LABORATUVARI SAĞLIK MEDİKAL HİZMETLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ, CELAL ALTUN İş Ortaklığı"
0fdf0c12700714e988d907107fc62e18e3a866481f9fd5e967b3caa9b38c1ecf,ADIYAMAN MERKEZ İLÇESİ REKABET  KURUMU  ORTAOKULUNUN  MEKANİK  VE  ELEKTRİK İMALATLARI İŞİ,31.12.2024 15:30,11110149.91,10850000.0,MAVİ YAPI MÜTEAHHİTLİK MÜHENDİSLİK İNŞAAT GIDA HAYVANCILIK AKARYAKIT SANAYİ VE TİCARET LİMİTED ŞİRKETİ
f1b693b21f2dacab00e55414c75f44fbff82dca17cd941d95a6234a3ba246d9c,Teleradyoloji Yöntemiyle Radyolojik Bilgisayarlı Tomografi Tetkik Raporlandırma Hizmet Alımı,31.12.2024 15:00,3018000.0,3360000.0,GNR RAD SAĞLIK HİZMETLERİ MEDİKAL TIBBİ GÖRÜNTÜLEME YAZILIM BİLGİ TEKNOLOJİLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ
26d9d86a7f4982265a56ed82f13e95f0628bc9a97c40b54f699881a6d3fe81c7,Kırıkkale(Delice)-Çorum(Km:0+000-120+000) Kesimi Yüksek Standartlı Demiryolu Yapım İşi,31.12.2024 15:00,85142058646.87,75249608232.0,"YAPI MERKEZİ İNŞAAT VE SANAYİ ANONİM ŞİRKETİ, YSE YAPI SANAYİ VE TİCARET ANONİM ŞİRKETİ İş Ortaklığı"
d6e5e7a8830a0f0211a7d521592fc80ad6446db4a6e60caa72ef601421e398dd,"1 AY SÜRELİ MALZEMELİ YEMEK PİŞİRME, TAŞIMA, DAĞITIMI VE SONRASI HİZMET ALIMI",31.12.2024 14:00,10799442.11,9862239.7,AVRUPA HAZIR YEMEK LİMİTED ŞİRKETİ
9c536abc7d4ef5210d1e4a68d9bed7fbe277768646491db9813c027805b8fe6c,"İstanbul İli, Fatih İlçesi, Turgut Özal Millet Caddesi, Kızılelma Caddesi, Etyemez Tekkesi Sokak Ve Kennedy Caddeleri Arasında Kalan Bölgede Yol, Kaldırım Tamiratı Ve Yenileme İnşaatı İşi",31.12.2024 12:00,48278461.76,34839161.0,BKV ASFALT İNŞAAT TAAHHÜT BİLİŞİM TAŞIMACILIK TEMİZLİK VE YEMEK ÜRETİMİ HİZMETLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ
4f9de770029f515408ace373eb9bbeb9aa745e96b5bcd9f250f01e8fc2f9de6e,"2025 YILI MEVCUT YAZILIMLARA BAKIM, DESTEK VE GÜNCELLEME HİZMETİ İLE  YAZILIM GELİŞTİRME ARAÇLARI LİSANS ALIMI İŞİ",31.12.2024 11:30,12206666.67,10671900.0,İŞ YAZILIM DONANIM ELEKTRONİK DANIŞMANLIK TELEKOMÜNİKASYON KIRTASİYE TURİZM MEDİKAL İNŞAAT İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ
499308f79e0deccb16a43ecc1d64d715dd93dd774a8736efdfe3eea7e3230b11,TRELLIX SIEM LİSANS YENİLEME BAKIM DESTEK VE SİBER GÜVENLİK OPERASYON MERKEZİ,31.12.2024 10:30,2407769.67,1890000.0,BARİKAT İNTERNET GÜVENLİĞİ BİLİŞİM TİCARET ANONİM ŞİRKETİ
2a3ee6c6e3ad6a284487acb80b755204d478371682197b1fcc1a7fdd84c8aa81,Adana İl Milli Eğitim Müdürlüğüne Bağlı Kozan İlçesi Öğretmenevi İkmal İnşaat Yapım İşi,31.12.2024 10:30,,,
324919363ff2beeaa7db6c16beddf4ee7c14c32e032b4e7a7fee646b5abac800,1 KISIM 3 KALEM SBYS HİZMETİ ALIMI ( 36 AYLIK ),31.12.2024 10:30,20682773.06,19492558.92,TRTEK TEKNOLOJİK ÜRÜNLER BİLGİSAYAR YAZILIM DONANIM SANAYİ VE TİCARET LİMİTED ŞİRKETİ
5deb1d2d2251d79664abb3621e2dbaecbb14b44b09ddbe898eeb380cd5b4479d,Malatya Bölge Adliye Mahkemesi Yapım İşi,31.12.2024 10:30,516381357.43,431000000.0,"URUL ALT YAPI İNŞAAT ELEKTRİK PETROL ÜRÜNLERİ GIDA OTOMOTİV SANAYİ TİCARET ANONİM ŞİRKETİ, ARKELA YAPI MİMARLIK MÜHENDİSLİK ELEKTRİK ENERJİ İNŞAAT İMALAT SANAYİ VE TİCARET ANONİM ŞİRKETİ İş Ortaklığı"
4401e4298fe2859fd0363d9bd3a682168f0953400967dfc160457dd4d3b65872,"BELEDİYE BİLGİ YÖNETİM SİSTEMİ SERVİS HİZMETLERİ KURULMASI, YAZILIM GELİŞTİRME, LİSANS, VERİLERİN AKTARILMASI VE 1 (BİR) YIL TEKNİK DESTEK",31.12.2024 10:00,,,
a7706f65f28afdf077231502fb526fc8447e937ccb04e43b66d31cde3cfebfb5,"Samsun Bölge Adliye Mahkemesi, Bölge İdare Mahkemesi, İdare ve Vergi Mahkemeleri Hizmet Binası Yapım İş",31.12.2024 10:00,1339568453.9,1123000000.0,AKSU İNŞAAT A.Ş.
a10131e18af3ed67a510ddb9e355e8759a3d620fdeb7e794d2c11c16faa0dcd0,24 AYLIK DİŞ PROTEZ HİZMETİ ALIMI,31.12.2024 10:00,,,
81e379f5621909352dc019e3f38c56a1550b5c879e347c646077e32a1bf6f71e,2025 YILI MUHTELİF LİSANS GÜNCELLEMELERİ VE GARANTİ DESTEK PAKETLERİ ALIMI İŞİ,31.12.2024 10:00,,,
38465ff56f94c51dba29a0c81dd3a2c7db2f57cd986375e21def36c419ef35e2,2 Aylık Ulusal Yenidoğan Tarama Programı Laboratuvar Hizmeti Alımı,30.12.2024 16:00,35959530.85,29574867.44,BOME TRIVITRON SANAYİ ÜRÜNLERİ DIŞ TİCARET ANONİM ŞİRKETİ
1388ebac7e451a381e323a9f66536eb230f2211dc96843a59ed5ef7363c62c78,"muhtelif işlerde çalışacak 55 adet personel 6 adet aşçı,1 adet aşçı(pastacı),1 adet halkla ilişkiler personeli,1 adet satın alma personeli,1 adet garson şefi personel alım işi",30.12.2024 16:00,32857725.05,32245219.5,ÖZKAYNAK SOSYAL HİZMETLER BİLGİSAYAR SAĞLIK TEMİZLİK HİZMETLERİ YEMEK İNŞAAT TAŞIMACILIK TURİZM SANAYİ VE TİCARET LİMİTED ŞİRKETİ
bd54e017668f02d2a1a3a52dcbd42c6b32e0da7d6c0eb91242bfdf61b6bb1f9c,2 Aylık Araç Kiralama Hizmet Alımı,30.12.2024 15:30,3901355.15,3324520.0,YAĞMURLU TAR.İNŞ.NAK.GIDA PET.ÜR.İTH.İHR.SAN.VE TİC.LTD.ŞTİ.
924f2e75d080141cc60684dd33608749cd8d76844526fab4878c22f56db11ec7,Hatay İli 38'inci Paket 150 Adet Hafif Çelik Konut (P251) Yapım İşi,30.12.2024 14:30,456879090.1,379000000.0,ERMİT MÜHENDİSLİK İNŞAAT SANAYİ VE TİCARET ANONİM ŞİRKETİ
f1b90189134b41d2460fedbbfa305e75165187078c3a061d2b4950119f35637d,SUNUCU VE AĞA BAĞLI DEPOLAMA CİHAZI(NAS) DONANIM,30.12.2024 14:30,1280750.0,1179000.0,PROCOM İNOVASYON VE BİLİŞİM TEKNOLOJİLERİ SANAYİ TİCARET ANONİM ŞİRKETİ
1885f2bea922d02e4df88d223feee5f1f35d20bf7ae2a1c147311b5233fcf10a,PERSONEL ÇALIŞTIRILMASINA DAYALI (3 PERSONEL) HİZMET ALIMI,30.12.2024 12:30,2022943.67,1999195.04,İÇCAN BİLİŞİM BİLGİ.SAYAR İNŞ.TİC.VESAN.LTD.ŞTİ.
5ab8d3e8532cd92a742418d99cea1ebfe3c654edee30c268da3af9ac3bbb1ab3,"2025 YILI SİSTEM, AĞ, GÜVENLİK BAKIM VE DESTEK HİZMETİ İLE LİSANS ALIMI VE YENİLEME İŞİ",30.12.2024 11:30,18850126.67,14800048.0,İSTTELKOM İSTANBUL ELEKTRONİK HABERLEŞME VE ALTYAPI HİZMETLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ
e108d4eeaa21c8f0673e7dae05306bf86d7894bd83151fa5c01384d7d8d2d053,Mobil Uygulama Dönüşüm Hizmeti Alım İşi,30.12.2024 11:00,,,
9d69f71a513d7e2eba3e90b035c8dc043f25c165de88b728e043dbf604c3c3c3,24 AYLIK KASET KARŞILIĞI DİJİTAL PATOLOJİ HİZMET ALIMI,30.12.2024 11:00,73750000.0,56250000.0,MİRAY BİOTECH SAĞLIK ANONİM ŞİRKETİ
dfe682d9feaa12910f88c842ec7c40099137c7cc33eeca09dc911687fecfc734,Merkezi İçerik Yönetim Sistemi ve Kurumsal Web Sitesi Yazılımı Geliştirme Hizmeti Temini,30.12.2024 11:00,20887500.0,13900000.0,ETİQA BİLİŞİM HİZMETLERİ ANONİM ŞİRKETİ
6113ee4cb618c0ec1f410658c0c41be001f3d8e88e2480fbe9dd7d0581618338,Hatay Erzin Adalet Binası Yapım İşi,30.12.2024 10:30,190468721.91,143400400.0,YEĞEN İNŞ.TAAH.NAK.TOP.MAH.GID.SAN.LTD.ŞTİ.
0513e27960d15ee83b243f93dd30243337cf1a55862f27ee5e94a9e54d687366,Veri Tabanları İçin Veri Koruma Odaklı Bakım ve Destek Hizmeti,30.12.2024 10:30,,,
bdbd677b238a1e798d15d36d7e36fdcee49267b753440c88c96cfaca987cfbdb,"Beyoğlu Belediyesi AYT-TYT Hazırlık ve Lgs Hazırlık Kursları, Kütüphane, Kreş ve Anaokulu ile Kültür Sanat ve Meslek Eğitimi (BESMEK) Eğitim Hizmeti Alımı",30.12.2024 10:30,,,
64269705cd6cb1663243f9791b0e91184d02af65eb473363093b24a4453574db,2024 Yılı Giyim Mal Alımı,30.12.2024 10:30,2078098.0,1574210.0,ÖZLEM ORMANCILIK İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ
58d750c65834e380f23532e1d476c089ebb26282fa5fe06236093f5b4d34a0d2,İTÜ Elektrik Sistem Ekipmanları Periyodik Bakım ve Onarım(2024) işi,30.12.2024 10:30,2484180.0,1994350.0,MEYSA TEKNİK TAAHHÜT MÜHENDİSLİK PROJE İNŞAAT EĞİTİM VE ÖĞRETİM HİZMETLERİ LİMİTED ŞİRKETİ
57a2090e27bc13c8bb7e649b9177d28fd6b0347aa841418d8113d114e897a394,Z KOLLU DİJİTAL RÖNTGEN CİHAZI,30.12.2024 10:00,,,
24a6ab17320fbc841b51fbedac6fb3982c5627e904f7b64ec138a7bda6a93d47,Osmaniye Düziçi Adalet Binası Yapım İşi,30.12.2024 10:00,188958842.25,144444444.44,"DOĞUBEY ALTYAPI İNŞAAT ELEKTRİK SANAYİ TİCARET LİMİTED ŞİRKETİ, ARKELA YAPI MİMARLIK MÜHENDİSLİK ELEKTRİK ENERJİ İNŞAAT İMALAT SANAYİ VE TİCARET ANONİM ŞİRKETİ İş Ortaklığı"
02aeddf6276bf52584fec067cfa2241b2a0c422290b117ea11b3bbc96cc29f51,İdrarda Uyuşturcu Madde Arama ve Doğrulama Testleri Hizmeti,30.12.2024 10:00,,,
262657057f81d479cc3f62da1109bae815db2fa6d808a1ce3a34f946d992dad3,Bakım Takip ve TEKBİS Sistemi Ek Geliştirme ile Hukuk Avans Sistemi Yazılım Geliştirmesi,30.12.2024 10:00,35520000.0,16200000.0,ETİQA BİLİŞİM HİZMETLERİ ANONİM ŞİRKETİ
aa2f6bb702d2ccd4d8b52cb06b8ba68184ba12d3791f02dd2668b64854ded446,Kılavuzlu Sulaması 4 Kısım Malzeme Alımı (CTP) 3,30.12.2024 10:00,795729458.49,364396995.02,ESEN PLASTİK SANAYİ VE TİCARET ANONİM ŞİRKETİ
